Warehouse;Customer;Transport Costs;Handling Costs;Transport Emissions;;
1;1;0,001369;0;0,001579;;
;2;0,000105;0;0,000105;;
;3;0,001737;0;0,002474;;
;4;0,003052;0;0,005211;;
;5;0,004369;0;0,00621;;
;6;0,00279;0;0,004369;;
;7;0,004;0;0,005684;;
;8;0,005684;0;0,008053;;
;9;0,005158;0;0,007631;;
;10;0,004316;0;0,006105;;
;11;0,004527;0;0,006105;;
;12;0,005684;0;0,008053;;
;13;0,008737;0;0,012421;;
;14;0,008474;0;0,012052;;
;15;0,008842;0;0,012684;;
;16;0,007369;0;0,010527;;
;17;0,007737;0;0,011;;
;18;0,006789;0;0,010369;;
;19;0,00279;0;0,003947;;
;20;0,003158;0;0,004473;;
;21;0,002368;0;0,003368;;
;22;0,003421;0;0,004842;;
2;1;0,000105;0;0,000105;;
;2;0,001369;0;0,001631;;
;3;0,001053;0;0,001263;;
;4;0,002948;0;0,004158;;
;5;0,00321;0;0,004369;;
;6;0,001684;0;0,002316;;
;7;0,002526;0;0,003579;;
;8;0,003895;0;0,00621;;
;9;0,004158;0;0,005895;;
;10;0,002842;0;0,004;;
;11;0,003789;0;0,005368;;
;12;0,004895;0;0,006947;;
;13;0,007737;0;0,011;;
;14;0,007527;0;0,010631;;
;15;0,007947;0;0,011263;;
;16;0,005263;0;0,008158;;
;17;0,006737;0;0,009579;;
;18;0,006579;0;0,007211;;
;19;0,001473;0;0,002421;;
;20;0,002158;0;0,003052;;
;21;0,001158;0;0,001421;;
;22;0,002474;0;0,003;;
3;1;0,001473;0;0,002421;;
;2;0,00279;0;0,003947;;
;3;0,001473;0;0,002474;;
;4;0,001316;0;0,001737;;
;5;0,001684;0;0,002421;;
;6;0,000632;0;0,000842;;
;7;0,000737;0;0,001053;;
;8;0,002526;0;0,003421;;
;9;0,002526;0;0,003052;;
;10;0,116368;0;0,001473;;
;11;0,003421;0;0,004842;;
;12;0,00321;0;0,004579;;
;13;0,006052;0;0,008632;;
;14;0,005105;0;0,007947;;
;15;0,005526;0;0,008579;;
;16;0,003737;0;0,005948;;
;17;0,003789;0;0,006368;;
;18;0,004211;0;0,005737;;
;19;0,000105;0;0,000105;;
;20;0,000526;0;0,000684;;
;21;0,000737;0;0,001;;
;22;0,000737;0;0,001;;
4;1;0,003789;0;0,005316;;
;2;0,004527;0;0,006105;;
;3;0,002842;0;0,004053;;
;4;0,002579;0;0,003105;;
;5;0,002263;0;0,002737;;
;6;0,002948;0;0,004211;;
;7;0,004158;0;0,005684;;
;8;0,004737;0;0,006421;;
;9;0,004158;0;0,005684;;
;10;0,004473;0;0,006052;;
;11;0,000105;0;0,000105;;
;12;0,001211;0;0,001631;;
;13;0,004421;0;0,006;;
;14;0,004211;0;0,006737;;
;15;0,003895;0;0,007369;;
;16;0,002948;0;0,004;;
;17;0,005211;0;0,007053;;
;18;0,004421;0;0,006;;
;19;0,003421;0;0,004842;;
;20;0,003947;0;0,005421;;
;21;0,003947;0;0,005579;;
;22;0,002632;0;0,004158;;
5;1;0,002526;0;0,003579;;
;2;0,004;0;0,005684;;
;3;0,002579;0;0,003684;;
;4;0,001369;0;0,002316;;
;5;0,001947;0;0,002948;;
;6;0,001263;0;0,001789;;
;7;0,000105;0;0,000105;;
;8;0,001789;0;0,002474;;
;9;0,001737;0;0,002105;;
;10;0,000263;0;0,000316;;
;11;0,004158;0;0,005684;;
;12;0,003579;0;0,005053;;
;13;0,006421;0;0,009105;;
;14;0,00621;0;0,00879;;
;15;0,006052;0;0,008263;;
;16;0,003158;0;0,006474;;
;17;0,004105;0;0,005368;;
;18;0,002895;0;0,004737;;
;19;0,000737;0;0,001053;;
;20;0,000368;0;0,000474;;
;21;0,001527;0;0,002053;;
;22;0,000895;0;0,001473;;
6;1;0,007527;0;0,106316;;
;2;0,008474;0;0,120526;;
;3;0,005526;0;0,093158;;
;4;0,004527;0;0,064737;;
;5;0,004316;0;0,061053;;
;6;0,005421;0;0,077368;;
;7;0,00621;0;0,087895;;
;8;0,003737;0;0,050526;;
;9;0,004895;0;0,059474;;
;10;0,003737;0;0,053158;;
;11;0,004211;0;0,067369;;
;12;0,00321;0;0,051579;;
;13;0,001631;0;0,022631;;
;14;0,000105;0;0,001053;;
;15;0,000474;0;0,00579;;
;16;0,001789;0;0,025263;;
;17;0,002158;0;0,029474;;
;18;0,002;0;0,026842;;
;19;0,005105;0;0,079473;;
;20;0,004947;0;0,078947;;
;21;0,006421;0;0,091053;;
;22;0,004631;0;0,073158;;
